year,cfb_dec_usd,source
2015,673.21,INEC - Informe Ejecutivo Canastas Analíticas dic-2015
2016,700.96,INEC - Reporte inflación / Canasta dic-2016
2017,708.98,INEC - Presentación IPC dic-2017
2018,715.16,INEC - Boletín técnico IPC dic-2018
2019,715.08,INEC - Boletín técnico IPC dic-2019
2020,710.08,INEC - Boletín técnico IPC dic-2020
2021,719.65,INEC - Boletín técnico IPC dic-2021
2022,763.44,INEC - Boletín técnico IPC dic-2022
2023,786.31,INEC - Boletín técnico IPC dic-2023
2024,797.97,INEC - Boletín técnico IPC dic-2024
2025,819.01,INEC - Boletín técnico IPC dic-2025
